TF1,TF2,delta_oe_median,delta_oe_ct,delta_oe_pval,delta_oe_pval_corrected
AHR,AHR,0.016088732500000008,204,4.931492733127424e-16,1.2624621396806204e-12
AHR,ATF3,0.024973499999999996,50,1.5425787884445934e-06,0.003949001698418159
AHR,BHLHE40,0.02895083999999999,91,1.9038246501228812e-14,4.873791104314576e-11
AHR,CREB1,0.017804416499999996,64,1.984901117285202e-06,0.005081346860250116
AHR,CREM,0.02088136,59,3.05150524085131e-07,0.0007811853416579353
AHR,CTCF,0.019964460000000017,189,1.0226740285836508e-14,2.618045513174146e-11
AHR,ELF1,0.011477303000000008,168,3.02228989895708e-07,0.0007737062141330125
AHR,ERF,0.0171559625,96,2.582894981276963e-09,6.612211152069025e-06
AHR,ETV4,0.009112571,113,0.0001554262909124822,0.39789130473595447
AHR,ETV5,0.013777305000000004,180,8.488575792507178e-07,0.0021730754028818377
AHR,GABPA,0.008698280000000003,181,1.24006006854667e-05,0.03174553775479475
AHR,HBP1,0.0193037955,130,1.0120694670835377e-11,2.5908978357338567e-08
AHR,HNF4A,0.02115982999999999,81,7.183330700561129e-06,0.018389326593436492
AHR,HNF4G,0.013109688999999994,88,0.001930455182081797,1.0
AHR,KLF16,0.0257135475,90,1.3055932857050418e-10,3.3423188114049073e-07
AHR,MAX,0.028102070000000007,255,1.2328244252573039e-33,3.156030528658698e-30
AHR,MLX,0.024374070499999984,126,1.743698840751211e-18,4.4638690323231006e-15
AHR,MXI1,0.023546745999999993,57,1.5360129425085981e-09,3.932193132822011e-06
AHR,MYRF,0.021323738499999998,62,9.984727161489171e-06,0.025560901533412277
AHR,NFIA,0.016081970999999997,62,6.190978096412648e-05,0.15848903926816377
AHR,NR2F1,0.033877309999999994,79,4.322971073127799e-11,1.1066805947207166e-07
AHR,NR2F6,0.01737535000000001,55,3.1269715120181806e-06,0.008005047070766543
AHR,NRF1,0.020951744999999994,397,1.4076827671577244e-38,3.6036678839237746e-35
AHR,RARA,0.028260755999999998,81,1.6665448401996321e-09,4.2663547909110585e-06
AHR,RXRB,0.024913339999999992,89,2.23768387988762e-10,5.728470732512307e-07
AHR,SMAD4,0.02442843,67,3.0771578268959628e-09,7.877524036853664e-06
AHR,TFAP4,0.03566127,72,2.564156698002152e-13,6.564241146885509e-10
AHR,TFDP1,0.019802490000000006,319,8.162975640873001e-25,2.0897217640634884e-21
AHR,TFE3,0.024532580000000005,73,1.713915734370603e-07,0.0004387624279988744
AHR,THAP11,0.0255576645,52,1.835243920333487e-07,0.0004698224436053727
AHR,USF1,0.02779534399999999,144,1.1125328676662405e-19,2.848084141225576e-16
AHR,YY1,0.025015540000000003,103,1.3576251498524673e-11,3.4755203836223163e-08
AHR,ZBTB25,0.028897423000000005,95,7.738171600858927e-13,1.9809719298198853e-09
AHR,ZSCAN9,0.020593169999999994,123,4.424920818273063e-11,1.1327797294779042e-07
ATF1,ATF1,0.04037080000000004,367,6.935638982949789e-43,1.775523579635146e-39
ATF1,ATF2,0.047878254999999995,248,2.0652511247007863e-36,5.287042879234013e-33
ATF1,ATF3,0.028590800000000027,197,9.51474346339884e-28,2.435774326630103e-24
ATF1,ATF7,0.05190507,209,7.596233375501387e-35,1.9446357441283549e-31
ATF1,BHLHE40,0.027970179999999983,95,1.332677509065522e-18,3.411654423207736e-15
ATF1,CREB1,0.0449767075,384,1.6265444398817163e-59,4.163953766097194e-56
ATF1,CREM,0.011258704999999994,218,4.3226415148628003e-07,0.0011065962278048768
ATF1,CTCF,0.011677039999999972,89,0.014780854935383147,1.0
ATF1,ELF1,0.01915327,319,5.100310681185815e-16,1.3056795343835687e-12
ATF1,ETV4,0.02007060999999999,161,2.7980033635561807e-10,7.162888610703823e-07
ATF1,ETV5,0.015875493000000004,262,1.7841409471666037e-12,4.567400824746505e-09
ATF1,GABPA,0.01293560000000002,319,1.8028604929649698e-09,4.6153228619903225e-06
ATF1,GMEB2,0.01123714499999999,89,0.0005323455526413979,1.0
ATF1,HBP1,0.014496298500000001,78,0.0024199141754179844,1.0
ATF1,HNF4A,0.018603032499999998,56,0.015183005265298134,1.0
ATF1,HNF4G,0.023974801499999997,52,7.866547408524354e-05,0.20138361365822344
ATF1,MAX,0.017511769999999982,161,8.702776842789209e-07,0.0022279108717540375
ATF1,MLX,0.03361500250000001,114,5.6188878526366384e-14,1.4384352902749795e-10
ATF1,MXI1,0.029268420000000003,55,1.318472781946292e-05,0.03375290321782508
ATF1,NFYC,0.018620187500000003,234,2.0601715718407076e-11,5.274039223912211e-08
ATF1,NR2C2,0.007796814999999992,62,0.05314398954575749,1.0
ATF1,NRF1,0.01703182000000003,631,2.879946038755498e-32,7.372661859214074e-29
ATF1,RFX1,0.02875230000000001,189,3.6328179974159884e-19,9.30001407338493e-16
ATF1,RFX3,0.021118614000000008,187,8.407640021321515e-17,2.1523558454583077e-13
ATF1,TFAP4,0.030833179999999995,55,2.4803516916073982e-06,0.00634970033051494
ATF1,TFDP1,0.021546773999999998,396,9.349543668485768e-25,2.3934831791323565e-21
ATF1,TFE3,0.034843665000000024,94,2.3888076658096335e-15,6.115347624472662e-12
ATF1,THAP11,0.007854116000000008,113,0.0006817931855794451,1.0
ATF1,USF1,0.03600807999999997,140,1.7152832085191833e-21,4.391125013809109e-18
ATF1,USF2,0.035479189999999994,70,1.8081584769840514e-12,4.628885701079172e-09
ATF1,YY1,0.014692657499999998,180,5.3819062761297464e-08,0.0001377768006689215
ATF1,ZBTB33,0.008661589999999997,93,0.0031503283244077897,1.0
ATF1,ZHX2,0.02505497000000001,131,4.953360115566826e-07,0.0012680601895851073
ATF1,ZSCAN9,0.01774068000000001,53,0.005480267785568135,1.0
ATF2,ATF1,0.047878280000000016,248,2.065247705204909e-36,5.2870341253245664e-33
ATF2,ATF2,0.059321391,256,2.3850791940350324e-57,6.105802736729682e-54
ATF2,ATF3,0.03185246449999999,122,3.2886239086007867e-16,8.418877206018014e-13
ATF2,ATF7,0.05931391100000001,210,1.4098784692469453e-44,3.60928888127218e-41
ATF2,BHLHE40,0.034758057499999995,80,3.16015451798725e-11,8.08999556604736e-08
ATF2,CREB1,0.061018585000000014,322,7.67658686855925e-75,1.9652062383511683e-71
ATF2,CREM,0.01768604999999998,143,1.7150313588966278e-07,0.0004390480278775367
ATF2,CTCF,0.014852031999999998,105,6.042225578284673e-06,0.015468097480408763
ATF2,ELF1,0.020904534000000002,189,6.722021146067438e-08,0.00017208374133932642
ATF2,ETV4,0.016912110000000008,129,3.798920341179527e-08,9.725236073419589e-05
ATF2,ETV5,0.013496619999999987,213,3.0448460307100955e-10,7.794805838617844e-07
ATF2,GABPA,-0.0024851349999999994,211,0.7883691709596723,1.0
ATF2,HNF4A,0.0007106764999999932,84,0.00651131914491171,1.0
