TF1,TF2,delta_oe_median,delta_oe_ct,delta_oe_pval,delta_oe_pval_corrected
ATF1,ATF1,0.05503155000000004,1118,1.787945803821828e-233,4.242795392469197e-230
ATF1,ATF2,0.0399997,515,3.551704246609076e-90,8.428194177203338e-87
ATF1,ATF3,0.046402495,606,7.07919628299942e-110,1.6798932779557625e-106
ATF1,BACH1,0.023159775000000007,61,9.476438510680758e-07,0.0022487588585845437
ATF1,BHLHE40,0.046925930000000005,341,2.6870090741730142e-79,6.376272533012563e-76
ATF1,CEBPB,0.040709063000000004,71,5.471931730257536e-13,1.2984893995901131e-09
ATF1,CREB1,0.046865994999999994,762,4.1014104175985517e-156,9.732646920961364e-153
ATF1,CREM,0.04596392949999999,1406,6.38266487036549e-290,1.5146063737377308e-286
ATF1,CTCF,0.029787390000000025,377,4.5044843096270485e-59,1.0689141266744985e-55
ATF1,E2F1,0.05114292399999999,1041,2.764290651178189e-222,6.559661715245842e-219
ATF1,E2F4,0.025536679,1005,2.05882675019062e-93,4.885595878202341e-90
ATF1,EGR1,0.028437500000000004,1771,9.562131234015277e-216,2.2690937418318254e-212
ATF1,ELF1,0.024635509999999992,824,3.7608354115775853e-88,8.92446243167361e-85
ATF1,ELF4,0.034899190000000024,207,1.674707831242636e-30,3.9740816835387754e-27
ATF1,ETS1,0.015727439499999996,128,9.368470032903956e-08,0.0002223137938808109
ATF1,FOXK2,0.029823889999999992,55,7.83239120816643e-11,1.858626433697894e-07
ATF1,GABPA,0.024820480000000034,719,1.0833535964923019e-68,2.5707980844762325e-65
ATF1,GMEB1,0.02860721999999999,383,1.0280051199737875e-53,2.439456149697798e-50
ATF1,IRF1,0.029541289999999998,1649,1.2914790413231585e-203,3.0646797650598553e-200
ATF1,JUND,0.0270508745,128,7.944813681087407e-17,1.8853042865220417e-13
ATF1,MAFF,0.011778946999999998,59,0.009925108807161465,1.0
ATF1,MAFG,0.026606855,90,3.0552103423264176e-12,7.250014142340589e-09
ATF1,MAFK,0.019714255999999993,64,2.5327301649131685e-08,6.010168681338949e-05
ATF1,MAX,0.0415005185,426,2.5804327140657348e-71,6.123366830477989e-68
ATF1,MITF,0.04840541999999999,256,1.0185104924135418e-63,2.4169253984973345e-60
ATF1,NEUROD1,0.024981390000000006,283,3.667561629933876e-30,8.703123747833087e-27
ATF1,NFE2,0.019732342,84,2.1814051161303805e-08,5.176474340577393e-05
ATF1,NFIC,0.0326635865,270,2.0896124469473605e-45,4.958650336606086e-42
ATF1,NFYA,0.03940741999999997,293,1.9873740231492568e-44,4.716038556933186e-41
ATF1,NFYB,0.031541191999999996,510,5.5785468156953085e-71,1.3237891593644967e-67
ATF1,NR2C1,0.028569165000000007,249,1.8287492690721614e-35,4.339622015508239e-32
ATF1,NR2F6,0.036747339999999996,63,7.486617164634183e-11,1.7765742531676917e-07
ATF1,NRF1,0.040710179999999985,2106,0.0,0.0
ATF1,PKNOX1,0.030596715000000017,126,9.181200502153295e-16,2.1786988791609767e-12
ATF1,REST,0.012045758999999998,99,7.320100321085781e-05,0.1737059806193656
ATF1,RFX1,0.03944805,376,2.716155259031894e-62,6.4454364296826845e-59
ATF1,SP2,0.01270319999999997,77,0.00036915399322403323,0.8760024259206308
ATF1,TAL1,0.036675429999999995,59,2.9278152496169588e-08,6.947705587341043e-05
ATF1,TEAD4,0.030986668500000005,70,2.1127610908541142e-08,5.013582068596813e-05
ATF1,USF1,0.04682900000000001,515,5.3041121857919755e-121,1.2586658216884357e-117
ATF1,USF2,0.05299219999999999,365,8.564809847839755e-95,2.032429376892374e-91
ATF1,YY1,0.03299039000000001,376,1.35545057165377e-51,3.2164842065343966e-48
ATF1,ZBTB2,0.03939848999999998,834,8.644058987189644e-144,2.0512351976601026e-140
ATF1,ZBTB40,0.029115779,693,6.709803093153442e-87,1.5922362740053119e-83
ATF1,ZEB2,0.029995590000000016,163,8.968547437429102e-23,2.1282363069019258e-19
ATF1,ZNF143,0.03323059250000001,192,1.9834421177596903e-27,4.706708145443745e-24
ATF1,ZNF316,0.024763224000000014,91,1.9652732378944756e-11,4.663593393523591e-08
ATF1,ZNF639,0.026445898,1298,1.2773058262778704e-162,3.0310467257573865e-159
ATF2,ATF1,0.039999690000000004,515,3.5517057620813215e-90,8.428197773418976e-87
ATF2,ATF2,0.047853033999999996,275,8.00554514272476e-58,1.8997158623685857e-54
ATF2,ATF3,0.032874966,333,1.013269705234789e-50,2.4044890105221544e-47
ATF2,BACH1,0.014345805999999996,64,0.0037400475958222087,1.0
ATF2,BHLHE40,0.03906881000000001,155,1.9971950049705855e-27,4.739343746795199e-24
ATF2,CREB1,0.04899231,337,4.644143775745236e-79,1.1020553179843445e-75
ATF2,CREM,0.042480535000000014,590,6.848627893566525e-125,1.6251793991433365e-121
ATF2,CTCF,0.03698243749999999,162,3.8130333479304884e-25,9.04832813463905e-22
ATF2,E2F1,0.044602823,519,3.5348916114309425e-110,8.388297793925627e-107
ATF2,E2F4,0.02975506,353,2.690324269398605e-48,6.38413949128289e-45
ATF2,EGR1,0.025471402,572,2.6381073928355827e-59,6.2602288431988375e-56
ATF2,ELF1,0.024332663,310,1.2337529031710997e-34,2.9276956392250195e-31
ATF2,ELF4,0.023807869999999995,109,1.6960706019049516e-13,4.02477553832045e-10
ATF2,ETS1,0.010934123000000004,51,0.00492755748892983,1.0
ATF2,GABPA,0.0077509500000000064,277,7.292580482891807e-08,0.00017305293485902256
ATF2,GMEB1,0.016881330500000014,132,1.1111696958286845e-12,2.6368056882014684e-09
ATF2,IRF1,0.038419292,637,4.304879698166361e-105,1.0215479523748776e-101
ATF2,JUND,0.022213490000000002,101,7.643386104745871e-09,1.813775522656195e-05
ATF2,MAFF,0.010351784999999999,71,0.012481229238696554,1.0
ATF2,MAFG,0.0314172345,98,1.5828651473449133e-11,3.7561389946494795e-08
ATF2,MAFK,0.018306106999999995,65,7.83202159037556e-07,0.0018585387233961204
ATF2,MAX,0.033549283,170,1.9329446260548743e-26,4.586877597628217e-23
ATF2,MITF,0.038393699999999975,151,8.328576808053e-27,1.976371276550977e-23
ATF2,NEUROD1,0.039780893,124,4.151237068588212e-28,9.850885563759826e-25
ATF2,NFE2,0.015646805000000014,84,1.4565473708228492e-05,0.03456386910962621
ATF2,NFIC,0.03687462949999999,116,9.013887191809842e-23,2.1389954306164757e-19
ATF2,NFYA,0.030969455000000007,141,1.4364423251802307e-19,3.408677637652687e-16
ATF2,NFYB,0.024762576,221,2.914703583039954e-25,6.916591602553811e-22
ATF2,NR2C1,0.020513680000000013,98,3.3389532254067696e-12,7.923336003890264e-09
ATF2,NRF1,0.03291814999999999,728,5.547567974159176e-104,1.3164378802679726e-100
ATF2,RFX1,0.04321235000000001,179,1.1461322019933135e-32,2.719771715330133e-29
ATF2,TAL1,0.031965789999999994,85,4.533505621913995e-12,1.075800884080191e-08
ATF2,TEAD4,0.04302496999999997,99,2.857229071657407e-19,6.780204587043027e-16
ATF2,USF1,0.04061281,244,1.1574725821155084e-48,2.7466824373601015e-45
ATF2,USF2,0.03886929000000001,180,1.460481269511621e-32,3.4657220525510764e-29
ATF2,YY1,0.024225542000000003,142,2.1071152154570754e-15,5.00018440627964e-12
ATF2,ZBTB2,0.027575979999999976,340,3.084412332836713e-46,7.31931046582152e-43
ATF2,ZBTB40,0.02670234500000001,264,3.312342414816926e-30,7.860188550360565e-27
ATF2,ZEB2,0.01455024000000002,75,6.479776649234398e-05,0.15376509988633227
ATF2,ZNF143,0.020538661999999985,82,9.317656416962671e-11,2.211079867745242e-07
ATF2,ZNF316,0.023141749500000003,90,1.579551802687131e-08,3.748276427776562e-05
ATF2,ZNF639,0.03969558000000001,494,1.4132873252137973e-93,3.353730822732341e-90
ATF3,ATF1,0.046402495,606,7.07919628299942e-110,1.6798932779557625e-106
ATF3,ATF2,0.03287497,333,1.0132690596795395e-50,2.404487478619547e-47
ATF3,ATF3,0.038499303000000006,477,1.9413939684524455e-67,4.606927887137653e-64
ATF3,BACH1,0.0249528045,99,2.4948519999901608e-08,5.920283795976652e-05
ATF3,BHLHE40,0.031254312,212,2.185415372277285e-29,5.185990678413997e-26
ATF3,CEBPB,0.031995949999999995,79,9.819591338440747e-11,2.3301890246119892e-07
ATF3,CREB1,0.04403564399999999,383,5.0732687352166156e-73,1.2038866708669028e-69
ATF3,CREM,0.038808590000000004,703,5.348094377137145e-133,1.2691027956946444e-129
ATF3,CTCF,0.020512210000000003,209,2.1300178525389085e-16,5.05453236407483e-13
ATF3,E2F1,0.043591599999999994,599,7.600898335869947e-110,1.8036931751019384e-106
ATF3,E2F4,0.01714328000000004,445,7.178062141714711e-33,1.703354146228901e-29
ATF3,EGR1,0.021095050000000004,855,3.2655360679187185e-70,7.74911708917112e-67
ATF3,ELF1,0.017377102,404,2.2285132750826953e-28,5.288262001771236e-25
ATF3,ELF4,0.024890940000000014,120,4.850030947036958e-11,1.15091234373187e-07
ATF3,ETS1,0.007322206999999997,67,0.0005998487262319114,1.0
ATF3,GABPA,0.018183194,359,1.3468828943133255e-24,3.1961531082055214e-21
ATF3,GMEB1,0.017691738999999984,170,7.832697783008272e-18,1.858699183907863e-14
ATF3,IRF1,0.022851380000000032,783,2.210406850466459e-82,5.2452954561569075e-79
ATF3,JUND,0.009597611500000002,208,1.2085998697774943e-12,2.8680074909819938e-09
ATF3,KLF16,0.017105439000000004,69,0.0008403714872860659,1.0
ATF3,MAFF,0.01927155500000001,138,5.537475581042894e-12,1.3140429553814788e-08
ATF3,MAFG,0.022054482,176,4.217025035240529e-19,1.0007000408625777e-15
ATF3,MAFK,0.014061457999999999,139,5.588520600561034e-11,1.3261559385131333e-07
ATF3,MAX,0.032976205,245,2.0279754573786602e-29,4.812385760359561e-26
ATF3,MITF,0.029566839999999997,221,1.7242575999768228e-32,4.0916632847450007e-29
ATF3,NEUROD1,0.018243374999999992,158,1.043746527516796e-13,2.476810509797357e-10
ATF3,NFE2,0.02238625350000001,128,2.662124705054439e-10,6.317221925094184e-07
ATF3,NFIC,0.021127907999999997,226,9.625760573366869e-24,2.284192984059958e-20
ATF3,NFYA,0.027568480000000006,159,8.403655229410016e-17,1.9941873859389969e-13
ATF3,NFYB,0.02336216000000002,249,6.233625666111112e-22,1.479239370568167e-18
ATF3,NR2C1,0.017214042999999978,142,1.5128710772010186e-15,3.5900430661980172e-12
ATF3,NR2F6,0.012792957999999997,61,1.2865530010415696e-06,0.003052990271471645
ATF3,NRF1,0.03130654500000002,878,1.1724537103017078e-123,2.7822326545459528e-120
ATF3,PKNOX1,0.026493988999999996,57,4.716089760644502e-06,0.011191281002009404
ATF3,REST,0.007406443999999998,53,0.021678316957556065,1.0
ATF3,RFX1,0.02990543000000001,228,1.0139082910536901e-28,2.4060043746704067e-25
ATF3,SMAD1,0.014440610000000006,61,6.714595423565417e-05,0.15933734940120733
ATF3,STAT5A,0.008779036999999996,89,0.0002808959911650698,0.6665661870347106
ATF3,TAL1,0.024853161999999998,106,7.801891496696859e-10,1.8513888521661648e-06
ATF3,TEAD4,0.022869067,111,1.4848118084953493e-09,3.523458421559464e-06
ATF3,USF1,0.033557521,308,9.356350724158174e-48,2.2202620268427348e-44
ATF3,USF2,0.034748165,238,2.720255454807461e-39,6.455166194258105e-36
ATF3,YY1,0.021119650000000045,193,8.887608493151036e-22,2.1090294954247407e-18
ATF3,ZBTB2,0.032936380000000015,395,3.1867222420678756e-59,7.562091880427069e-56
ATF3,ZBTB40,0.0202306905,334,6.152410633190122e-30,1.4599670432560158e-26
ATF3,ZEB2,0.022574760000000027,95,2.2753840680657904e-12,5.399486393520121e-09
ATF3,ZNF143,0.02311759999999996,99,4.18555936948488e-12,9.93233238378762e-09
ATF3,ZNF316,0.021338090000000004,177,1.0708575049806021e-16,2.5411448593189687e-13
ATF3,ZNF639,0.022754109999999994,587,4.497607112059724e-61,1.0672821676917724e-57
BACH1,ATF1,0.023159775000000007,61,9.476438510680758e-07,0.0022487588585845437
BACH1,ATF2,0.014345842999999997,64,0.0037400315250836437,1.0
BACH1,ATF3,0.0249528045,99,2.4948519999901608e-08,5.920283795976652e-05
BACH1,BACH1,0.032276620000000006,782,1.6218823237721477e-79,3.8487267543113065e-76
BACH1,BHLHE40,0.028201600999999993,88,1.6100842841298425e-13,3.8207300062401164e-10
BACH1,CEBPB,0.030761457000000002,61,3.725321864394631e-06,0.00884018878420846
BACH1,CREM,0.014448594999999995,63,4.6483333678839546e-05,0.11030495081988624
