peak_weight,footprint_weight,global_std_weight,read_frac_type,read_type,rho,pval,read_ct
-1.0,-2.0,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,-1.9,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,-1.8,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,-1.7,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,-1.6,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,-1.5,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,-1.4,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,-1.3,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,-1.2,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,-1.1,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,-1.0,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,-0.9,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,-0.8,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,-0.7,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,-0.6,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,-0.5,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,-0.4,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,-0.3,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,-0.2,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,-0.1,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,0.0,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
-1.0,0.1,2,defined,unbound,-0.29550919311998086,1.3623538703827187e-41,21184
